Azimuth_angle_deg,Elevation_angle_deg
0.00,55.26
1.00,55.26
2.00,55.26
3.00,55.26
4.00,54.44
5.00,53.64
6.00,53.64
7.00,52.86
8.00,52.09
9.00,52.09
10.00,50.96
11.00,50.23
12.00,49.52
13.00,48.47
14.00,48.47
15.00,48.47
16.00,46.81
17.00,46.16
18.00,45.22
19.00,44.31
20.00,42.86
21.00,42.30
22.00,41.48
23.00,40.69
24.00,39.43
25.00,37.99
26.00,36.86
27.00,36.00
28.00,24.79
29.00,24.79
30.00,25.02
31.00,25.13
32.00,25.37
33.00,25.48
34.00,25.02
35.00,27.22
36.00,46.41
37.00,46.48
38.00,47.13
39.00,47.80
40.00,48.13
41.00,48.82
42.00,49.52
43.00,49.52
44.00,49.52
45.00,49.52
46.00,49.52
47.00,49.52
48.00,49.69
49.00,50.43
50.00,50.79
51.00,49.52
52.00,50.43
53.00,49.52
54.00,50.43
55.00,50.08
56.00,50.43
57.00,49.17
58.00,49.52
59.00,48.82
60.00,49.17
61.00,48.82
62.00,48.82
63.00,48.47
64.00,48.47
65.00,48.27
66.00,48.13
67.00,47.92
68.00,48.70
69.00,48.70
70.00,48.36
71.00,47.13
72.00,48.03
73.00,47.37
74.00,47.37
75.00,46.48
76.00,45.85
77.00,46.16
78.00,45.53
79.00,44.92
80.00,45.22
81.00,44.67
82.00,42.03
83.00,37.91
84.00,37.91
85.00,39.58
86.00,40.59
87.00,41.11
88.00,41.11
89.00,42.18
90.00,42.73
91.00,42.73
92.00,42.36
93.00,42.36
94.00,41.81
95.00,41.64
96.00,40.47
97.00,40.84
98.00,39.83
99.00,39.83
100.00,37.78
101.00,38.14
102.00,37.91
103.00,36.22
104.00,36.36
105.00,34.57
106.00,34.57
107.00,33.94
108.00,33.76
109.00,32.49
110.00,30.97
111.00,30.81
112.00,30.19
113.00,26.49
114.00,26.86
115.00,26.99
116.00,26.49
117.00,25.27
118.00,24.79
119.00,23.47
120.00,21.76
121.00,21.43
122.00,19.75
123.00,16.33
124.00,16.38
125.00,16.42
126.00,15.38
127.00,14.12
128.00,13.02
129.00,4.63
130.00,0.00
131.00,0.57
132.00,0.00
133.00,0.00
134.00,0.00
135.00,0.00
136.00,0.00
137.00,0.00
138.00,0.00
139.00,0.00
140.00,0.00
141.00,0.00
142.00,0.00
143.00,2.53
144.00,0.00
145.00,0.00
146.00,0.00
147.00,0.00
148.00,0.46
149.00,13.72
150.00,14.80
151.00,15.96
152.00,16.74
153.00,16.69
154.00,16.59
155.00,20.44
156.00,21.62
157.00,22.57
158.00,23.90
159.00,24.72
160.00,25.83
161.00,26.67
162.00,27.69
163.00,28.64
164.00,29.65
165.00,30.42
166.00,30.89
167.00,32.40
168.00,32.76
169.00,32.93
170.00,32.93
171.00,32.76
172.00,32.40
173.00,32.05
174.00,31.88
175.00,31.22
176.00,30.89
177.00,30.89
178.00,30.57
179.00,32.07
180.00,32.78
181.00,33.15
182.00,33.71
183.00,34.09
184.00,34.48
185.00,34.88
186.00,35.29
187.00,36.14
188.00,36.35
189.00,36.79
190.00,37.24
191.00,37.47
192.00,37.93
193.00,38.16
194.00,38.16
195.00,38.64
196.00,39.37
197.00,39.62
198.00,39.62
199.00,40.13
200.00,40.39
201.00,40.65
202.00,40.65
203.00,40.91
204.00,41.18
205.00,41.18
206.00,41.45
207.00,41.72
208.00,40.91
209.00,39.62
210.00,37.47
211.00,36.79
212.00,35.09
213.00,32.78
214.00,31.72
215.00,29.48
216.00,28.47
217.00,25.66
218.00,23.72
219.00,22.04
220.00,19.70
221.00,20.81
222.00,21.07
223.00,22.64
224.00,21.82
225.00,21.78
226.00,21.78
227.00,50.94
228.00,50.94
229.00,50.55
230.00,50.94
231.00,50.57
232.00,50.94
233.00,50.18
234.00,50.55
235.00,50.18
236.00,50.55
237.00,50.17
238.00,49.43
239.00,49.43
240.00,49.43
241.00,47.52
242.00,46.84
243.00,47.18
244.00,46.51
245.00,46.51
246.00,45.91
247.00,45.57
248.00,45.57
249.00,47.26
250.00,47.96
251.00,48.32
252.00,48.32
253.00,47.87
254.00,47.96
255.00,47.26
256.00,46.92
257.00,46.91
258.00,46.23
259.00,46.23
260.00,45.25
261.00,45.20
262.00,24.13
263.00,24.55
264.00,25.10
265.00,25.55
266.00,26.38
267.00,26.87
268.00,27.13
269.00,27.65
270.00,27.92
271.00,28.75
272.00,29.04
273.00,28.75
274.00,28.47
275.00,27.78
276.00,27.26
277.00,26.75
278.00,26.38
279.00,26.13
280.00,25.55
281.00,25.12
282.00,57.81
283.00,57.81
284.00,57.81
285.00,59.60
286.00,59.60
287.00,59.60
288.00,60.05
289.00,60.05
290.00,60.51
291.00,60.98
292.00,60.51
293.00,60.98
294.00,61.45
295.00,60.98
296.00,61.45
297.00,61.92
298.00,61.45
299.00,61.92
300.00,61.92
301.00,61.92
302.00,61.92
303.00,62.40
304.00,62.40
305.00,62.40
306.00,62.88
307.00,62.40
308.00,62.40
309.00,62.88
310.00,63.37
311.00,63.86
312.00,63.37
313.00,62.88
314.00,63.37
315.00,63.86
316.00,63.37
317.00,63.37
318.00,63.86
319.00,63.37
320.00,62.88
321.00,63.37
322.00,63.37
323.00,62.88
324.00,62.88
325.00,63.37
326.00,62.88
327.00,62.88
328.00,62.88
329.00,62.88
330.00,62.40
331.00,62.40
332.00,62.88
333.00,61.92
334.00,61.92
335.00,62.40
336.00,61.45
337.00,61.45
338.00,61.92
339.00,60.98
340.00,60.98
341.00,61.45
342.00,61.45
343.00,61.45
344.00,60.51
345.00,60.98
346.00,60.98
347.00,60.05
348.00,60.05
349.00,59.14
350.00,59.60
351.00,59.60
352.00,58.69
353.00,58.69
354.00,57.81
355.00,57.81
356.00,56.94
357.00,56.94
358.00,56.09
359.00,56.09
360.00,55.26
